index,committee_name,contribution_receipt_amount
1046,TORRES FOR CONGRESS,2581902.85
839,PAT RYAN FOR CONGRESS,2266629.09
556,JON OSSOFF FOR SENATE,2129092.37
643,"LAWLER FOR CONGRESS, INC.",1917473.82
635,LASHER FOR CONGRESS,1755290.0
214,COOPER FOR NORTH CAROLINA,1327275.5
235,DAN GOLDMAN FOR NEW YORK,1218066.98
216,CORY BOOKER FOR SENATE,1200003.0
568,JOSH RILEY FOR CONGRESS,1185644.88
391,FRIENDS OF MARK WARNER,1134017.5
403,FRIENDS OF SHERROD BROWN,1116388.68
317,ELISE FOR CONGRESS,1092120.63
990,SUOZZI FOR CONGRESS,1064782.09
426,GILLEN FOR NY,1007015.26
897,RO FOR CONGRESS INC,972775.0
427,GILLIBRAND FOR SENATE,903077.34
602,KENNEDY FOR CONGRESS,887875.55
83,BETH DAVIDSON FOR CONGRESS,859430.0
995,TALARICO FOR TEXAS,832126.63
92,BLAKE FOR THE NORTH COUNTRY,802926.51
