committee_name,contribution_receipt_amount
BRIAN JACK FOR CONGRESS,33500.0
WHATLEY FOR SENATE,31500.0
IOWANS FOR ZACH NUNN,31500.0
RULLI FOR OHIO,31000.0
"STEIL FOR WISCONSIN, INC.",28000.0
"TUBERVILLE FOR SENATE, INC.",28000.0
KANSANS FOR MARSHALL,28000.0
ROGERS FOR SENATE,28000.0
CISCOMANI FOR CONGRESS,24500.0
ROB FOR PA,24500.0
MILLER-MEEKS FOR CONGRESS,24500.0
TED CRUZ FOR SENATE,24500.0
THE PAT HARRIGAN COMMITTEE,21000.0
TOM BARRETT FOR CONGRESS,21000.0
FRIENDS OF JOHN BARRASSO,21000.0
MCDOWELL FOR CONGRESS,21000.0
SCALISE FOR CONGRESS,21000.0
MIKE COLLINS FOR SENATE,21000.0
ASHLEY FOR IOWA,21000.0
ALASKANS FOR NICK BEGICH,21000.0
